"pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
408979.704213436,1,46.2000007629395,625,46.2000007629395,0
378267.94615608,1,46.7999992370605,625,46.7999992370605,0
378267.94615608,1,47.4000015258789,625,47.4000015258789,0
378267.94615608,1,48,625,48,0
378267.94615608,1,48.5999984741211,625,48.5999984741211,0
378267.94615608,1,49.2000007629395,625,49.2000007629395,0
378267.94615608,1,49.7999992370605,625,49.7999992370605,0
378267.94615608,1,50.4000015258789,625,50.4000015258789,0
378267.94615608,1,51,625,51,0
378267.94615608,1,51.5999984741211,625,51.5999984741211,0
378267.94615608,1,52.2000007629395,625,52.2000007629395,0
378267.94615608,1,52.7999992370605,625,52.7999992370605,0
378267.94615608,1,53.4000015258789,625,53.4000015258789,0
378267.94615608,1,54,625,54,0
378267.94615608,1,54.5999984741211,625,54.5999984741211,0
378267.94615608,1,55.2000007629395,625,55.2000007629395,0
378267.94615608,1,55.7999992370605,625,55.7999992370605,0
378267.94615608,1,56.4000015258789,625,56.4000015258789,0
378267.94615608,1,57,625,57,0
378267.94615608,1,57.5999984741211,625,57.5999984741211,0
378267.94615608,1,58.2000007629395,625,58.2000007629395,0
378267.94615608,1,58.7999992370605,625,58.7999992370605,0
378267.94615608,1,59.4000015258789,625,59.4000015258789,0
396823.690592809,1,60,625,60,0
396823.690592809,1,60.5999984741211,625,60.5999984741211,0
396823.690592809,1,61.2000007629395,625,61.2000007629395,0
396823.690592809,1,61.7999992370605,625,61.7999992370605,0
396823.690592809,1,62.4000015258789,625,62.4000015258789,0
396823.690592809,1,63,625,63,0
396823.690592809,1,63.5999984741211,625,63.5999984741211,0
396823.690592809,1,64.1999969482422,625,64.1999969482422,0
396823.690592809,1,64.8000030517578,625,64.8000030517578,0
396823.690592809,1,65.4000015258789,625,65.4000015258789,0
396823.690592809,1,66,625,66,0
372063.210804836,1,66.5999984741211,625,66.5999984741211,0
372063.210804836,1,67.1999969482422,625,67.1999969482422,0
372063.210804836,1,67.8000030517578,625,67.8000030517578,0
372063.210804836,1,68.4000015258789,625,68.4000015258789,0
372063.210804836,1,69,625,69,0
372063.210804836,1,69.5999984741211,625,69.5999984741211,0
372063.210804836,1,70.1999969482422,625,70.1999969482422,0
372063.210804836,1,70.8000030517578,625,70.8000030517578,0
372063.210804836,1,71.4000015258789,625,71.4000015258789,0
372063.210804836,1,72,625,72,0
372063.210804836,1,72.5999984741211,625,72.5999984741211,0
372063.210804836,1,73.1999969482422,625,73.1999969482422,0
372063.210804836,1,73.8000030517578,625,73.8000030517578,0
372063.210804836,1,74.4000015258789,625,74.4000015258789,0
397188.000106844,1,75,625,75,0
397188.000106844,1,75.5999984741211,625,75.5999984741211,0
397188.000106844,1,76.1999969482422,625,76.1999969482422,0
397188.000106844,1,76.8000030517578,625,76.8000030517578,0
397188.000106844,1,77.4000015258789,625,77.4000015258789,0
397188.000106844,1,78,625,78,0
397188.000106844,1,78.5999984741211,625,78.5999984741211,0
397188.000106844,1,79.1999969482422,625,79.1999969482422,0
397188.000106844,1,79.8000030517578,625,79.8000030517578,0
397188.000106844,1,80.4000015258789,625,80.4000015258789,0
397188.000106844,1,81,625,81,0
397188.000106844,1,81.5999984741211,625,81.5999984741211,0
397188.000106844,1,82.1999969482422,625,82.1999969482422,0
397188.000106844,1,82.8000030517578,625,82.8000030517578,0
397188.000106844,1,83.4000015258789,625,83.4000015258789,0
397188.000106844,1,84,625,84,0
379031.045969045,1,84.5999984741211,625,84.5999984741211,0
379031.045969045,1,85.1999969482422,625,85.1999969482422,0
379031.045969045,1,85.8000030517578,625,85.8000030517578,0
379031.045969045,1,86.4000015258789,625,86.4000015258789,0
379031.045969045,1,87,625,87,0
379031.045969045,1,87.5999984741211,625,87.5999984741211,0
379031.045969045,1,88.1999969482422,625,88.1999969482422,0
379031.045969045,1,88.8000030517578,625,88.8000030517578,0
379031.045969045,1,89.4000015258789,625,89.4000015258789,0
379031.045969045,1,90,625,90,0
379031.045969045,1,90.5999984741211,625,90.5999984741211,0
379031.045969045,1,91.1999969482422,625,91.1999969482422,0
379031.045969045,1,91.8000030517578,625,91.8000030517578,0
402340.143000031,1,92.4000015258789,625,92.4000015258789,0
402340.143000031,1,93,625,93,0
402340.143000031,1,93.5999984741211,625,93.5999984741211,0
402340.143000031,1,94.1999969482422,625,94.1999969482422,0
402340.143000031,1,94.8000030517578,625,94.8000030517578,0
402340.143000031,1,95.4000015258789,625,95.4000015258789,0
402340.143000031,1,96,625,96,0
402340.143000031,1,96.5999984741211,625,96.5999984741211,0
402340.143000031,1,97.1999969482422,625,97.1999969482422,0
402340.143000031,1,97.8000030517578,625,97.8000030517578,0
